0102	1582
0202	1541
0302	1590
0402	1531
0502	1645
0602	1504
0702	1652
0802	1482
0902	1521
1002	1635
1102	1507
1202	1587
0103	1611
0203	1465
0303	1700
0403	1704
0503	1745
0603	1651
0703	1837
0803	1919
0903	1808
1003	1740
1103	1617
1203	1525
0104	1579
0204	1597
0304	1811
0404	1834
0504	1841
0604	1726
0704	1832
0804	1636
0904	1605
1004	1695
1104	1562
1204	1553
0105	1553
0205	1594
0305	1729
0405	1700
0505	1638
0605	1464
0705	1577
0805	1574
0905	1624
1005	1580
1105	1527
1205	1465
0106	1606
0206	1580
0306	1885
0406	1572
0506	1568
0606	1557
0706	1633
0806	1610
0906	1616
1006	1624
1106	1616
1206	1376
0107	1489
0207	1271
0307	1388
0407	1247
0507	1449
0607	1412
0707	1458
0807	1549
0907	1300
1007	1367
1107	1341
1207	1197
0108	1264
0208	1305
0308	1417
0408	1273
0508	1392
0608	1471
0708	1440
0808	1445
0908	1526
1008	1482
1108	1341
1208	1343
0109	1373
0209	1199
0309	1449
0409	1303
0509	1478
0609	1355
0709	1356
0809	1513
0909	1437
1009	1499
1109	1344
1209	1370
0110	1396
0210	1245
0310	1342
0410	1214
0510	1252
0610	1170
0710	1213
0810	1145
0910	1305
1010	1321
1110	1189
1210	1170
0111	1285
0211	1068
0311	1268
0411	1203
0511	1307
0611	1243
0711	1217
0811	1275
0911	1287
1011	1223
1111	1152
1211	1122
0112	1258
0212	1098
0312	1253
0412	1223
0512	1316
0612	1248
0712	1373
0812	1419
0912	1432
1012	1477
1112	1292
1212	1285
0113	1472
0213	1291
0313	1541
0413	1458
0513	1340
0613	1405
0713	1426
0813	1343
0913	1450
1013	1447
1113	1321
1213	1393
0114	1522
0214	1462
0314	1667
0414	1610
0514	1558
0614	1578
0714	1596
0814	1570
0914	1686
1014	1580
1114	1536
1214	1597
0115	1644
0215	1612
0315	1664
0415	1603
0515	1671
0615	1558
0715	1651
0815	1846
0915	1886
1015	1942
1115	1774
1215	1558
